Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
01/27/21,178.28,6985860,-9.42,-5.02,-5.02,207.16,149.68,187.61,187.70,176.82,114.87
01/26/21,187.70,3463602,-2.45,-1.29,-1.29,218.11,162.88,190.11,190.56,186.67,126.23
01/25/21,190.15,3423911,-1.76,-0.92,-0.92,220.96,166.31,191.56,193.11,189.23,129.18
01/22/21,191.91,3257239,0.64,0.33,0.33,223.00,168.77,190.90,192.38,189.48,131.30
01/21/21,191.27,4586624,2.97,1.58,1.58,222.26,167.88,190.10,194.09,189.00,130.53
01/20/21,188.30,3443232,0.14,0.07,0.07,218.81,163.72,188.50,188.70,184.54,126.95
01/19/21,188.16,5347792,-6.64,-3.41,-3.41,218.64,163.52,194.42,194.75,187.20,126.78
01/15/21,194.80,4289911,-3.21,-1.62,-1.62,226.36,172.82,197.65,198.85,194.01,134.78
01/14/21,198.01,3321165,1.19,0.60,0.60,230.09,177.32,196.99,199.40,196.90,138.65
01/13/21,196.82,4098158,-2.28,-1.15,-1.15,228.71,175.65,198.52,199.96,195.28,137.22
01/12/21,199.10,3866687,3.82,1.96,1.96,231.36,178.84,196.17,199.29,195.65,139.97
01/11/21,195.28,7221960,1.68,0.87,0.87,226.92,173.49,193.04,199.50,192.19,135.36
01/08/21,193.60,3321516,2.50,1.31,1.31,224.96,171.14,191.58,193.88,190.81,133.34
01/07/21,191.10,4226679,2.18,1.15,1.15,222.06,167.64,189.21,192.35,189.17,130.32
01/06/21,188.92,5610103,8.55,4.74,4.74,219.53,164.59,180.33,189.47,180.11,127.70
01/05/21,180.37,4843288,2.74,1.54,1.54,209.59,152.61,176.80,181.97,176.43,117.39
01/04/21,177.63,3463062,1.10,0.62,0.62,206.41,148.77,176.51,178.09,174.12,114.09
12/31/20,176.53,2571328,2.65,1.52,1.52,205.13,147.23,174.41,176.67,174.10,112.76
12/30/20,173.88,1935233,-1.16,-0.66,-0.66,202.05,143.52,175.70,176.06,172.82,109.57
12/29/20,175.04,2359709,-1.35,-0.77,-0.77,203.40,145.15,177.11,177.77,174.46,110.97
